pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
Kyrgyz-South,mixed-AJ,0.985,6,204,0.046
Scot,Veps,6.27,4,12,0.591
French-Southwest,Jew-Yemenite,1.07,6,7,0.245
Basque-Spain,Sindhi,1.399,6,14,0.206
Kryashen,Veps,14.817,3,12,1.128
Cossack,Jew-Iranian,1.249,4,9,0.289
Jew-Iraqi,Hazara,0.628,6,11,0.155
Kyrgyz-South,Moroccan,0.469,6,10,0.141
Algerian,Uzbek-West,0.851,4,8,0.272
English-Southwest,Sicilian-West,2.515,5,14,0.318
Spanish-Northwest,Russia-AJ,2.318,5,39,0.193
Algerian,Baloch,0.302,4,20,0.097
Shaigi,Cossack,1.294,3,4,0.64
Austria-AJ,Lithuania-AJ,90.638,3,27,2.074
Mansi,Italian-South,1.595,5,15,0.235
Afar,Karelian,0.13,5,17,0.065
Eritrean,Slovakian,1.018,3,15,0.295
Spanish-Northwest,Kurd,1.291,5,10,0.252
Netherlands-AJ,Kumyk,1.903,4,11,0.396
Shaigi,Belarusian,1.608,3,14,0.346
Jew-Iberian,Komi,1.932,3,18,0.306
Jew-Cochin,Sicilian-West,0.975,5,14,0.179
French-Southeast,Ingush,1.657,5,9,0.316
Cossack,Georgian,1.633,4,26,0.22
English-Southeast,Romanian,4.534,5,10,0.463
Libyan,Russia-AJ,1.722,5,39,0.14
Libyan,Kurd,1.987,5,10,0.459
Brahmin,Romanian,1.716,3,10,0.407
Jew-Iberian,Assyrian-Caucasus,2.063,3,7,0.429
Eritrean,Jew-Cochin,1.106,3,5,0.559
Afar,Kyrgyz-South,0.181,5,6,0.13
Austria-AJ,Albanian,1.563,3,9,0.367
French-Southeast,Mordvin,3.795,5,34,0.274
Mansi,Spanish-Northwest,1.719,5,5,0.592
French-Southwest,Baloch,1.151,6,20,0.182
French-Southwest,Uzbek-West,0.845,6,8,0.238
Sicilian-East,Karelian,2.682,6,17,0.264
Sicilian-East,Jew-Iraqi,0.773,6,6,0.241
Scot,Norwegian,9.135,4,12,0.666
Basque-Spain,Italian-South,3.058,6,15,0.286
Kryashen,Norwegian,4.719,3,12,0.554
Cossack,Lak,2.394,4,9,0.438
Jew-Iraqi,Kumyk,1.143,6,11,0.255
Algerian,Hemshin,0.412,4,8,0.199
Kyrgyz-South,Romanian,1.219,6,10,0.232
Spanish-Northwest,Bashkir,1.908,5,56,0.144
English-Southwest,Udmurt,3.623,5,14,0.366
Algerian,Swede,1.108,4,20,0.196
Austria-AJ,Roman-Iberia,1.977,3,28,0.257
Shaigi,Scot,1.48,3,4,0.541
Afar,Gujarati,0.188,5,17,0.076
Mansi,Tuscan,1.954,5,15,0.281
Shaigi,Basque-France,1.667,3,14,0.363
Eritrean,Corsican,0.482,3,16,0.164
Spanish-Northwest,Avar,1.148,5,10,0.29
Netherlands-AJ,Orcadian,5.431,4,11,0.809
Jew-Iberian,Azeri,1.084,3,18,0.271
Jew-Cochin,Udmurt,1.21,5,14,0.32
Cossack,Germany-AJ,2.767,4,26,0.291
French-Southeast,Chechen,1.507,5,9,0.296
English-Southeast,Saudi,2.202,5,10,0.371
Libyan,Bashkir,0.593,5,56,0.078
Jew-Iberian,Cypriot,1.543,3,7,0.507
Libyan,Avar,0.774,5,10,0.211
Brahmin,Saudi,1.039,3,10,0.347
Eritrean,Libyan,0.697,3,5,0.424
Austria-AJ,Turk-Northeast,0.771,3,9,0.238
Afar,Sicilian-East,0.387,5,6,0.187
French-Southeast,Ukraine-AJ,2.891,5,38,0.223
Mansi,English-Southwest,4.22,5,5,0.77
French-Southwest,Swede,4.982,6,20,0.317
French-Southwest,Hemshin,0.94,6,8,0.21
Sicilian-East,French-Southwest,2.026,6,6,0.461
Scot,Abkhasian,2.038,4,12,0.317
Sicilian-East,Gujarati,0.872,6,17,0.15
Kryashen,Abkhasian,1.515,3,12,0.323
Basque-Spain,Tuscan,3.436,6,15,0.321
Cossack,Punjabi,0.746,4,9,0.214
Algerian,Iranian-South,0.572,4,8,0.217
Jew-Iraqi,Orcadian,1.581,6,11,0.271
English-Southwest,Belarus-AJ,2.299,5,14,0.31
Kyrgyz-South,Saudi,0.464,6,10,0.148
Spanish-Northwest,Spanish-Catalonia,3.141,5,57,0.177
Shaigi,Algerian,11.922,3,4,3.559
Austria-AJ,Yemenite-Highlands,1.153,3,29,0.219
Algerian,Brahui,0.506,4,21,0.148
Mansi,Slovenian,4.059,5,15,0.585
Shaigi,Croat,0.975,3,14,0.232
Afar,Pashtun,0.226,5,17,0.085
Netherlands-AJ,Uyghur-North,1.643,4,11,0.311
Eritrean,Greek-South,0.306,3,16,0.119
Spanish-Northwest,Turk-South,1.947,5,10,0.342
Jew-Cochin,Belarus-AJ,2.48,5,14,0.374
Cossack,Tatar-Volga,8.335,4,26,0.483
Jew-Iberian,Armenian,0.971,3,18,0.209
Jew-Iberian,Jew-Tunisian,7.829,3,7,1.339
English-Southeast,Portuguese,5.466,5,10,0.565
Austria-AJ,Russian-Northwest,2.902,3,9,0.825
French-Southeast,Kurd,0.93,5,10,0.201
Libyan,Spanish-Catalonia,1.493,5,57,0.116
Libyan,Turk-South,1.778,5,10,0.255
Brahmin,Portuguese,1.491,3,10,0.338
Eritrean,Basque-Spain,0.943,3,6,0.496
Afar,Jew-Iraqi,0.079,5,6,0.079
French-Southeast,Russia-AJ,2.743,5,39,0.236
Mansi,French-Southeast,2.848,5,5,0.557
French-Southwest,Brahui,0.902,6,21,0.124
French-Southwest,Iranian-South,1.307,6,8,0.263
Sicilian-East,Jew-Moroccan,2.12,6,6,0.437
Sicilian-East,Pashtun,1.127,6,17,0.181
Scot,Icelandic,9.799,4,12,0.774
Basque-Spain,Slovenian,4.146,6,15,0.378
Kryashen,Icelandic,3.976,3,12,0.666
Algerian,Ukranian-West,0.444,4,8,0.169
English-Southwest,Sindhi,1.315,5,14,0.215
Cossack,Lebanese-Christian,1.406,4,9,0.299
Jew-Iraqi,Uyghur-North,1.167,6,11,0.249
Spanish-Northwest,Poland-AJ,2.31,5,57,0.168
Kyrgyz-South,Portuguese,0.657,6,10,0.164
Shaigi,Netherlands-AJ,2.021,3,4,0.846
Austria-AJ,Spanish-Balearic,2.186,3,29,0.261
Algerian,Uzbek-East,0.441,4,21,0.142
Shaigi,Sicilian-West,0.981,3,14,0.259
Afar,Chuvash,0.084,5,18,0.049
Mansi,Slovakian,4.892,5,15,0.577
Spanish-Northwest,Karakalpak,1.186,5,10,0.322
Netherlands-AJ,Spanish-Valencia,3.508,4,11,0.492
Eritrean,Estonian,0.571,3,16,0.192
Cossack,Yemenite-Desert,0.946,4,27,0.146
Jew-Cochin,Sindhi,1.721,5,14,0.247
Jew-Iberian,Pole,2.512,3,19,0.362
English-Southeast,Spanish-North,4.736,5,10,0.569
Austria-AJ,Latvian,1.805,3,9,0.425
Jew-Iberian,general-AJ,6.39,3,7,1.037
French-Southeast,Avar,1.838,5,10,0.293
Libyan,Poland-AJ,1.48,5,57,0.117
Libyan,Karakalpak,0.437,5,10,0.159
Brahmin,Spanish-North,1.817,3,10,0.466
Afar,French-Southwest,0.136,5,6,0.094
Mansi,Jew-Cochin,0.832,5,5,0.281
Eritrean,Kyrgyz-South,0.43,3,6,0.235
French-Southeast,Bashkir,2.337,5,56,0.158
French-Southwest,Uzbek-East,1.232,6,21,0.175
French-Southwest,Ukranian-West,4.248,6,8,0.648
Sicilian-East,Jew-French,2.108,6,7,0.353
Sicilian-East,Chuvash,1.584,6,18,0.205
Scot,Italian-North,4.62,4,12,0.533
Basque-Spain,Slovakian,5.155,6,15,0.471
Algerian,Russian-Southwest,0.686,4,8,0.275
Kryashen,Italian-North,3.702,3,12,0.445
Cossack,Bulgarian,6.889,4,9,0.853
English-Southwest,Italian-South,3.255,5,15,0.387
Spanish-Northwest,Russian-Central,2.974,5,58,0.175
Shaigi,Afar,0.397,3,5,0.274
Austria-AJ,Druze,1.008,3,30,0.18
Algerian,Tatar-Siberia,0.58,4,21,0.139
Shaigi,Udmurt,0.573,3,14,0.174
Jew-Iraqi,Spanish-Valencia,1.114,6,11,0.218
Kyrgyz-South,Spanish-North,0.971,6,10,0.196
Mansi,Corsican,1.801,5,16,0.232
Afar,Ossetian,0.212,5,18,0.085
Netherlands-AJ,Moldavian,3.078,4,11,0.485
Jew-Cochin,Italian-South,1.389,5,15,0.211
Cossack,Lithuania-AJ,3.662,4,27,0.345
Spanish-Northwest,Turk-Central,1.242,5,10,0.23
Eritrean,Russian-Arctic,0.411,3,17,0.167
Jew-Iberian,Sardinian,1.853,3,20,0.298
Austria-AJ,Gagauz,1.752,3,9,0.421
Jew-Iberian,Jew-Yemenite,1.257,3,7,0.311
Libyan,Russian-Central,1.146,5,58,0.107
English-Southeast,French-Northeast,5.089,5,10,0.432
French-Southeast,Turk-South,1.461,5,10,0.29
Libyan,Turk-Central,0.521,5,10,0.167
Brahmin,French-Northeast,2.035,3,10,0.437
Mansi,Libyan,0.711,5,5,0.263
Afar,Jew-Moroccan,0.429,5,6,0.204
French-Southeast,Spanish-Catalonia,3.763,5,57,0.194
Eritrean,Sicilian-East,0.429,3,6,0.235
French-Southwest,Russian-Southwest,3.865,6,8,0.42
French-Southwest,Tatar-Siberia,1.687,6,21,0.184
Sicilian-East,Jew-Ethiopian,0.351,6,7,0.152
Scot,Circassian,2.119,4,12,0.356
Algerian,Ukranian-East,1.1,4,8,0.395
Cossack,Albanian,5.046,4,9,0.498
Sicilian-East,Ossetian,1.594,6,18,0.213
Basque-Spain,Corsican,4.847,6,16,0.496
Kryashen,Circassian,2.055,3,12,0.384
English-Southwest,Tuscan,3.318,5,15,0.335
Shaigi,Belarus-AJ,1.415,3,14,0.339
Spanish-Northwest,mixed-AJ,2.33,5,204,0.083
Shaigi,English-Southeast,1.011,3,5,0.48
Algerian,Spanish-Central,1.507,4,21,0.213
Austria-AJ,Adygei,2.051,3,31,0.246
Jew-Iraqi,Moldavian,1.597,6,11,0.312
Cossack,Roman-Iberia,2.228,4,28,0.254
Kyrgyz-South,French-Northeast,0.994,6,10,0.225
Jew-Cochin,Tuscan,1.335,5,15,0.218
Mansi,Greek-South,2.472,5,16,0.333
Netherlands-AJ,Jew-Azeri,1.78,4,11,0.35
Afar,Turk-Northwest,0.346,5,18,0.101
Spanish-Northwest,Moroccan,2.586,5,10,0.347
Eritrean,Karelian,0.368,3,17,0.155
Jew-Iberian,Baloch,0.859,3,20,0.198
Jew-Iberian,Uzbek-West,0.87,3,8,0.261
Austria-AJ,Bengali,0.221,3,9,0.154
French-Southeast,Karakalpak,1.505,5,10,0.253
Libyan,mixed-AJ,1.761,5,204,0.067
English-Southeast,French-Northwest,7.228,5,10,0.639
Libyan,Moroccan,8.243,5,10,0.774
Mansi,Basque-Spain,3.684,5,6,0.663
Afar,Jew-French,0.516,5,7,0.179
Brahmin,French-Northwest,1.114,3,10,0.267
French-Southeast,Poland-AJ,3.108,5,57,0.195
Eritrean,Jew-Iraqi,0.496,3,6,0.288
French-Southwest,Ukranian-East,4.123,6,8,0.436
Sicilian-East,Latvia-AJ,1.772,6,7,0.383
Algerian,Turkmen,0.533,4,8,0.184
French-Southwest,Spanish-Central,11.061,6,21,0.744
Cossack,Turk-Northeast,1.613,4,9,0.36
Scot,Iranian-North,1.952,4,12,0.298
Basque-Spain,Greek-South,2.367,6,16,0.253
Sicilian-East,Turk-Northwest,1.899,6,18,0.251
English-Southwest,Slovenian,5.012,5,15,0.408
Kryashen,Iranian-North,1.47,3,12,0.343
Shaigi,Sindhi,0.417,3,14,0.164
English-Southwest,French-Southeast,4.24,5,5,0.648
Algerian,Hungarian,0.839,4,21,0.152
Shaigi,Mansi,0.228,3,5,0.228
Austria-AJ,Tajik,1.317,3,32,0.191
Cossack,Yemenite-Highlands,0.803,4,29,0.14
Jew-Cochin,Slovenian,1.378,5,15,0.201
Jew-Iraqi,Jew-Azeri,3.71,6,11,0.479
Mansi,Estonian,6.779,5,16,0.588
Spanish-Northwest,Romanian,2.735,5,10,0.35
Afar,Egyptian,0.373,5,18,0.113
Netherlands-AJ,Karachay,1.749,4,11,0.342
Kyrgyz-South,French-Northwest,1.355,6,10,0.266
Eritrean,Gujarati,0.352,3,17,0.127
Jew-Iberian,Hemshin,0.816,3,8,0.349
Jew-Iberian,Swede,1.979,3,20,0.3
French-Southeast,Turk-Central,1.939,5,10,0.367
Austria-AJ,French-North,2.377,3,9,0.465
English-Southeast,Czech,7.579,5,10,0.697
Libyan,Romanian,0.901,5,10,0.236
Basque-Spain,Kyrgyz-South,1.254,6,6,0.299
Afar,Jew-Ethiopian,3.14,5,7,0.37
Mansi,Kyrgyz-South,5.387,5,6,0.71
Brahmin,Czech,1.458,3,10,0.318
French-Southeast,Russian-Central,4.46,5,58,0.228
Eritrean,French-Southwest,0.129,3,6,0.129
French-Southwest,Turkmen,0.926,6,8,0.225
Sicilian-East,Jew-Georgian,1.515,6,7,0.249
Algerian,Turk-West,0.536,4,8,0.187
Cossack,Russian-Northwest,15.339,4,9,1.169
French-Southwest,Hungarian,3.176,6,21,0.252
Scot,BedouinB,1.046,4,12,0.236
Basque-Spain,Estonian,5.499,6,16,0.36
Sicilian-East,Egyptian,0.682,6,18,0.116
English-Southwest,Slovakian,5.427,5,15,0.48
Kryashen,BedouinB,1.393,3,12,0.396
Shaigi,Italian-South,1.305,3,15,0.245
English-Southwest,Jew-Cochin,1.33,5,5,0.387
Austria-AJ,Palestinian,1.208,3,33,0.21
Shaigi,Spanish-Northwest,2.727,3,5,0.868
Algerian,Mozabite,15.789,4,21,0.814
Cossack,Spanish-Balearic,3.336,4,29,0.31
Jew-Cochin,Slovakian,1.933,5,15,0.241
Spanish-Northwest,Saudi,0.983,5,10,0.207
Netherlands-AJ,Jordanian,1.815,4,11,0.362
Jew-Iraqi,Karachay,1.201,6,11,0.235
Afar,Komi,0.235,5,18,0.087
Mansi,Russian-Arctic,15.719,5,17,1.064
Jew-Iberian,Iranian-South,0.185,3,8,0.128
Kyrgyz-South,Czech,1.509,6,10,0.258
Eritrean,Pashtun,0.318,3,17,0.126
Jew-Iberian,Brahui,0.759,3,21,0.177
French-Southeast,Moroccan,2.072,5,10,0.337
Austria-AJ,Ingush,1.998,3,9,0.425
English-Southeast,Assyrian-MiddleEast,1.515,5,11,0.242
Afar,Latvia-AJ,0.252,5,7,0.121
Brahmin,Assyrian-MiddleEast,0.791,3,11,0.28
Libyan,Saudi,16.895,5,10,1.581
Mansi,Sicilian-East,1.683,5,6,0.422
Basque-Spain,Sicilian-East,3.307,6,6,0.415
Eritrean,Jew-Moroccan,0.991,3,6,0.345
French-Southwest,Turk-West,1.716,6,8,0.308
French-Southeast,mixed-AJ,2.886,5,204,0.101
Algerian,Maltese,1.559,4,8,0.354
Sicilian-East,Assyrian-Caucasus,1.242,6,7,0.28
Cossack,Latvian,16.381,4,9,1.369
French-Southwest,Mozabite,1.161,6,21,0.149
Scot,Jew-Uzbek,2.318,4,12,0.37
English-Southwest,Corsican,4.126,5,16,0.369
Sicilian-East,Komi,2.108,6,18,0.216
Basque-Spain,Russian-Arctic,4.092,6,17,0.307
English-Southwest,Libyan,0.841,5,5,0.299
Shaigi,Tuscan,0.991,3,15,0.247
Kryashen,Jew-Uzbek,1.357,3,12,0.34
Shaigi,English-Southwest,2.118,3,5,0.78
Cossack,Druze,1.218,4,30,0.164
Austria-AJ,Mordvin,2.176,3,34,0.238
Algerian,Iranian-Central,0.511,4,22,0.121
Jew-Cochin,Corsican,0.843,5,16,0.164
Afar,Azeri,0.276,5,18,0.093
Spanish-Northwest,Portuguese,4.451,5,10,0.604
Mansi,Karelian,10.923,5,17,0.833
Netherlands-AJ,Finn,3.406,4,11,0.505
Jew-Iraqi,Jordanian,1.5,6,11,0.247
Jew-Iberian,Ukranian-West,2.057,3,8,0.517
Eritrean,Chuvash,0.291,3,18,0.116
Jew-Iberian,Uzbek-East,0.949,3,21,0.195
Kyrgyz-South,Assyrian-MiddleEast,0.516,6,11,0.151
Austria-AJ,Chechen,1.571,3,9,0.41
French-Southeast,Romanian,3.203,5,10,0.486
English-Southeast,Lebanese-Muslim,1.512,5,11,0.245
Afar,Jew-Georgian,0.146,5,7,0.104
Libyan,Portuguese,1.478,5,10,0.262
Mansi,Jew-Iraqi,0.827,5,6,0.272
Brahmin,Lebanese-Muslim,1.086,3,11,0.31
Basque-Spain,Jew-Iraqi,1.2,6,6,0.348
Eritrean,Jew-French,0.262,3,7,0.183
Jew-Cochin,Libyan,0.925,5,5,0.316
Algerian,Tunisian,10.132,4,8,0.817
French-Southwest,Maltese,2.189,6,8,0.295
Sicilian-East,Cypriot,1.531,6,7,0.274
Cossack,Gagauz,7.162,4,9,0.631
Scot,Greek-North,3.929,4,13,0.445
French-Southwest,Iranian-Central,1.016,6,22,0.154
English-Southwest,Greek-South,2.473,5,16,0.296
Sicilian-East,Azeri,1.512,6,18,0.209
Shaigi,Slovenian,1.675,3,15,0.25
English-Southwest,Basque-Spain,5.365,5,6,0.614
Basque-Spain,Karelian,4.171,6,17,0.332
Kryashen,Greek-North,3.629,3,13,0.511
Shaigi,French-Southeast,1.193,3,5,0.481
Cossack,Adygei,2.802,4,31,0.249
Algerian,Romania-AJ,1.198,4,23,0.189
Jew-Cochin,Greek-South,0.903,5,16,0.176
Afar,Armenian,0.57,5,18,0.144
Spanish-Northwest,Spanish-North,5.566,5,10,0.609
Mansi,Gujarati,0.851,5,17,0.172
Jew-Iberian,Russian-Southwest,2.786,3,8,0.698
Jew-Iraqi,Finn,0.965,6,11,0.223
Netherlands-AJ,Jew-Italian,48.202,4,11,4.922
Austria-AJ,Ukraine-AJ,87.934,3,38,2.381
Eritrean,Ossetian,0.327,3,18,0.147
Jew-Iberian,Tatar-Siberia,0.641,3,21,0.156
Kyrgyz-South,Lebanese-Muslim,0.267,6,11,0.106
Afar,Assyrian-Caucasus,0.237,5,7,0.135
Austria-AJ,Kurd,1.801,3,10,0.349
English-Southeast,Hazara,1.706,5,11,0.284
French-Southeast,Saudi,1.507,5,10,0.324
Libyan,Spanish-North,1.527,5,10,0.292
Mansi,French-Southwest,1.168,5,6,0.304
Brahmin,Hazara,1.316,3,11,0.34
Basque-Spain,French-Southwest,31.196,6,6,2.021
Eritrean,Jew-Ethiopian,2.513,3,7,0.538
Jew-Cochin,Basque-Spain,1.714,5,6,0.357
Algerian,Jew-Turkish,1.213,4,8,0.28
French-Southwest,Tunisian,0.845,6,8,0.22
Sicilian-East,Jew-Tunisian,2.284,6,7,0.454
Cossack,Bengali,0.67,4,9,0.205
Scot,German,6.868,4,13,0.509
English-Southwest,Estonian,6.499,5,16,0.522
French-Southwest,Romania-AJ,2.515,6,23,0.262
Shaigi,Slovakian,1.641,3,15,0.306
English-Southwest,Kyrgyz-South,1.026,5,6,0.266
Sicilian-East,Armenian,1.628,6,18,0.22
Kryashen,German,6.93,3,13,0.861
Shaigi,Jew-Cochin,0.923,3,5,0.354
Basque-Spain,Gujarati,0.912,6,17,0.148
Cossack,Tajik,2.294,4,32,0.215
Algerian,BedouinA,2.019,4,23,0.226
Jew-Cochin,Estonian,1.707,5,16,0.256
Afar,Pole,0.3,5,19,0.092
Spanish-Northwest,French-Northeast,3.776,5,10,0.445
Mansi,Pashtun,1.114,5,17,0.192
Jew-Iberian,Ukranian-East,1.76,3,8,0.46
Netherlands-AJ,Italian-Northwest,2.731,4,11,0.494
Jew-Iraqi,Jew-Italian,2.608,6,11,0.408
Eritrean,Turk-Northwest,0.595,3,18,0.178
Jew-Iberian,Spanish-Central,3.668,3,21,0.376
Afar,Cypriot,0.4,5,7,0.172
Austria-AJ,Avar,1.436,3,10,0.331
English-Southeast,Kumyk,3.184,5,11,0.37
French-Southeast,Portuguese,4.268,5,10,0.593
Kyrgyz-South,Hazara,4.019,6,11,0.397
Mansi,Jew-Moroccan,1.165,5,6,0.278
Libyan,French-Northeast,1.334,5,10,0.267
Brahmin,Kumyk,1.606,3,11,0.356
Austria-AJ,Russia-AJ,76.21,3,39,3.433
Eritrean,Latvia-AJ,0.272,3,7,0.194
Basque-Spain,Jew-Moroccan,2.951,6,6,0.472
Algerian,Syrian,1.519,4,8,0.435
French-Southwest,Jew-Turkish,1.2,6,8,0.314
Sicilian-East,general-AJ,2.119,6,7,0.375
Jew-Cochin,Kyrgyz-South,0.464,5,6,0.196
Scot,Somali,0.246,4,13,0.122
Cossack,French-North,5.027,4,9,0.685
English-Southwest,Russian-Arctic,5.918,5,17,0.414
Shaigi,Corsican,1.793,3,16,0.383
French-Southwest,BedouinA,0.912,6,23,0.125
English-Southwest,Sicilian-East,2.232,5,6,0.455
Kryashen,Somali,0.226,3,13,0.108
Sicilian-East,Pole,3.067,6,19,0.229
Shaigi,Libyan,5.36,3,5,1.038
Basque-Spain,Pashtun,1.168,6,17,0.197
Cossack,Palestinian,1.449,4,33,0.167
Jew-Cochin,Russian-Arctic,1.396,5,17,0.207
Algerian,Nogai,0.644,4,25,0.127
Afar,Sardinian,0.356,5,20,0.1
Spanish-Northwest,French-Northwest,3.834,5,10,0.49
Jew-Iberian,Turkmen,0.709,3,8,0.241
Mansi,Chuvash,12.705,5,18,0.65
Afar,Jew-Tunisian,0.371,5,7,0.163
Netherlands-AJ,Ukranian-Central,6.184,4,12,0.73
Jew-Iberian,Hungarian,2.947,3,21,0.417
Jew-Iraqi,Italian-Northwest,1.38,6,11,0.227
Eritrean,Egyptian,0.408,3,18,0.15
Austria-AJ,Turk-South,1.789,3,10,0.636
Mansi,Jew-French,1.601,5,7,0.381
English-Southeast,Orcadian,7.674,5,11,0.715
Libyan,French-Northwest,0.909,5,10,0.207
French-Southeast,Spanish-North,4.413,5,10,0.515
Kyrgyz-South,Kumyk,1.231,6,11,0.179
Austria-AJ,Bashkir,1.116,3,56,0.132
Algerian,Jew-Libyan,2.472,4,8,0.537
Brahmin,Orcadian,1.895,3,11,0.437
Basque-Spain,Jew-French,3.16,6,7,0.483
Eritrean,Jew-Georgian,0.361,3,7,0.2
French-Southwest,Syrian,0.583,6,8,0.162
Sicilian-East,Jew-Yemenite,1.817,6,7,0.379
Scot,Czechia-AJ,3.173,4,13,0.395
Jew-Cochin,Sicilian-East,1.454,5,6,0.456
Cossack,Ingush,2.809,4,9,0.448
English-Southwest,Karelian,6.451,5,17,0.436
Shaigi,Greek-South,0.798,3,16,0.202
French-Southwest,Nogai,1.473,6,25,0.167
English-Southwest,Jew-Iraqi,1.24,5,6,0.318
Kryashen,Czechia-AJ,2.364,3,13,0.396
Sicilian-East,Sardinian,1.91,6,20,0.208
Shaigi,Basque-Spain,1.226,3,6,0.437
Basque-Spain,Chuvash,2.913,6,18,0.298
Cossack,Mordvin,12.104,4,34,0.511
Jew-Cochin,Karelian,1.29,5,17,0.197
Algerian,Kyrgyz-North,0.447,4,25,0.101
Afar,Baloch,0.394,5,20,0.113
Spanish-Northwest,Czech,2.733,5,10,0.352
Jew-Iberian,Turk-West,0.859,3,8,0.32
Afar,general-AJ,0.566,5,7,0.221
Mansi,Ossetian,1.412,5,18,0.19
Netherlands-AJ,Tabasaran,2.185,4,12,0.326
Jew-Iberian,Mozabite,2.379,3,21,0.329
Mansi,Jew-Ethiopian,0.154,5,7,0.107
Eritrean,Komi,0.465,3,18,0.146
Jew-Iraqi,Ukranian-Central,0.902,6,12,0.189
Austria-AJ,Karakalpak,0.349,3,10,0.202
English-Southeast,Uyghur-North,1.324,5,11,0.277
Libyan,Czech,1.188,5,10,0.245
Algerian,Spanish-South,2.152,4,8,0.457
French-Southeast,French-Northeast,3.796,5,10,0.426
Basque-Spain,Jew-Ethiopian,0.11,6,7,0.077
Austria-AJ,Spanish-Catalonia,1.997,3,57,0.167
Kyrgyz-South,Orcadian,1.655,6,11,0.263
Brahmin,Uyghur-North,2.127,3,11,0.451
Eritrean,Assyrian-Caucasus,0.324,3,7,0.224
French-Southwest,Jew-Libyan,1.213,6,8,0.251
Sicilian-East,Uzbek-West,1.05,6,8,0.255
Cossack,Chechen,2.433,4,9,0.449
Scot,Lezgin,2.519,4,13,0.302
Jew-Cochin,Jew-Iraqi,7.435,5,6,2.937
English-Southwest,Gujarati,1.349,5,17,0.181
Shaigi,Estonian,0.877,3,16,0.249
English-Southwest,French-Southwest,5.392,5,6,0.511
Kryashen,Lezgin,1.733,3,13,0.429
French-Southwest,Kyrgyz-North,0.868,6,25,0.123
Sicilian-East,Baloch,1.24,6,20,0.161
Shaigi,Kyrgyz-South,0.584,3,6,0.329
Jew-Cochin,Gujarati,1.735,5,17,0.243
Cossack,Ukraine-AJ,4.329,4,38,0.371
Basque-Spain,Ossetian,2.039,6,18,0.292
Algerian,Yemenite-Northwest,1.22,4,26,0.163
Afar,Swede,0.182,5,20,0.073
Spanish-Northwest,Assyrian-MiddleEast,1.349,5,11,0.295
Jew-Iberian,Maltese,2.21,3,8,0.464
Afar,Jew-Yemenite,1.573,5,7,0.368
Mansi,Turk-Northwest,2.197,5,18,0.253
Netherlands-AJ,Veps,5.017,4,12,0.718
Mansi,Latvia-AJ,1.867,5,7,0.442
Jew-Iberian,Iranian-Central,1.173,3,22,0.189
Eritrean,Azeri,0.469,3,18,0.182
Algerian,Darginian,0.793,4,8,0.247
Austria-AJ,Turk-Central,1.601,3,10,0.396
Libyan,Assyrian-MiddleEast,0.954,5,11,0.224
English-Southeast,Spanish-Valencia,4.476,5,11,0.514
Jew-Iraqi,Tabasaran,1.492,6,12,0.283
Basque-Spain,Latvia-AJ,2.145,6,7,0.354
French-Southeast,French-Northwest,4.591,5,10,0.56
Eritrean,Cypriot,0.983,3,7,0.419
Scot,Kazakh-East,1.936,4,13,0.356
French-Southwest,Spanish-South,9.418,6,8,0.847
Kyrgyz-South,Uyghur-North,3.514,6,11,0.448
Brahmin,Spanish-Valencia,1.587,3,11,0.394
Cossack,Kurd,1.959,4,10,0.383
Sicilian-East,Hemshin,1.812,6,8,0.379
Jew-Cochin,French-Southwest,0.75,5,6,0.249
English-Southwest,Pashtun,1.467,5,17,0.204
Shaigi,Russian-Arctic,1.061,3,17,0.269
Austria-AJ,Poland-AJ,97.429,3,57,1.947
English-Southwest,Jew-Moroccan,1.897,5,6,0.45
Kryashen,Kazakh-East,2.512,3,13,0.565
French-Southwest,Yemenite-Northwest,0.622,6,26,0.115
Sicilian-East,Swede,2.753,6,20,0.255
Algerian,Jew-Bulgarian,1.217,4,26,0.194
Jew-Cochin,Pashtun,1.045,5,17,0.177
Shaigi,Sicilian-East,1.233,3,6,0.366
Basque-Spain,Turk-Northwest,2.009,6,18,0.245
Cossack,Russia-AJ,2.941,4,39,0.234
Spanish-Northwest,Lebanese-Muslim,1.097,5,11,0.3
Afar,Brahui,0.358,5,21,0.095
Afar,Uzbek-West,0.422,5,8,0.172
Jew-Iberian,Tunisian,1.794,3,8,0.407
Mansi,Egyptian,0.743,5,18,0.157
Netherlands-AJ,Norwegian,4.061,4,12,0.54
Mansi,Jew-Georgian,0.729,5,7,0.203
Algerian,Jew-Kurdish,0.615,4,8,0.212
English-Southeast,Moldavian,4.144,5,11,0.42
Eritrean,Armenian,0.646,3,18,0.191
Libyan,Lebanese-Muslim,1.081,5,11,0.247
Basque-Spain,Jew-Georgian,0.937,6,7,0.247
Austria-AJ,Moroccan,0.681,3,10,0.216
Jew-Iberian,Romania-AJ,6.805,3,23,0.588
Eritrean,Jew-Tunisian,0.878,3,7,0.361
Jew-Iraqi,Veps,1.412,6,12,0.213
French-Southeast,Czech,5.05,5,10,0.563
Scot,Kazakh-West,1.291,4,13,0.283
French-Southwest,Darginian,1.436,6,8,0.322
Cossack,Avar,1.746,4,10,0.36
Brahmin,Moldavian,1.773,3,11,0.382
Sicilian-East,Iranian-South,1.474,6,8,0.293
