pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
Libyan,Palestinian,2.455,5,33,0.202
Jew-Cochin,Belarusian,1.774,5,14,0.223
English-Southeast,Karakalpak,2.035,5,10,0.346
Libyan,French-North,1.465,5,9,0.339
Shaigi,Lithuanian,1.3,3,13,0.377
Brahmin,Karakalpak,0.732,3,10,0.312
Afar,Jew-Cochin,0.339,5,5,0.19
Austria-AJ,Punjabi,0.344,3,9,0.195
Eritrean,Spanish-Northwest,0.635,3,5,0.348
Cossack,Yemenite-Northwest,1.019,4,26,0.151
Jew-Iberian,Jew-Ethiopian,0.0,3,7,0.0
English-Southeast,Poland-AJ,3.314,5,57,0.178
French-Southeast,Adygei,2.127,5,31,0.214
French-Southwest,Armenian,1.019,6,18,0.155
Scot,Ukranian-Central,5.649,4,12,0.498
Kyrgyz-South,Poland-AJ,0.916,6,57,0.08
Sicilian-East,Greek-South,1.477,6,16,0.213
Kryashen,Ukranian-Central,8.54,3,12,0.958
Basque-Spain,Udmurt,3.226,6,14,0.32
French-Southwest,Jew-Tunisian,1.753,6,7,0.356
Jew-Iraqi,Assyrian-MiddleEast,1.324,6,11,0.23
Kyrgyz-South,Karakalpak,4.491,6,10,0.443
Cossack,Darginian,1.938,4,8,0.294
Austria-AJ,Tatar-Volga,1.68,3,26,0.254
Algerian,general-AJ,0.931,4,7,0.245
English-Southwest,Basque-France,4.597,5,14,0.447
Spanish-Northwest,Mordvin,2.629,5,34,0.195
Algerian,Pole,1.376,4,19,0.214
Brahmin,Russian-Central,1.908,3,58,0.169
Afar,Estonian,0.321,5,16,0.103
Eritrean,Tuscan,0.709,3,15,0.226
Mansi,Belarus-AJ,2.542,5,14,0.382
Spanish-Northwest,Ingush,1.626,5,9,0.324
Netherlands-AJ,Lebanese-Muslim,1.253,4,11,0.247
Jew-Iberian,Turk-Northwest,1.914,3,18,0.299
Jew-Cochin,Basque-France,1.607,5,14,0.268
Libyan,Mordvin,1.016,5,34,0.129
French-Southeast,Bengali,0.787,5,9,0.259
English-Southeast,Turk-Central,1.3,5,10,0.271
Shaigi,Balkar,1.128,3,13,0.267
Libyan,Ingush,0.903,5,9,0.233
Brahmin,Turk-Central,0.759,3,10,0.244
Cossack,Jew-Bulgarian,2.398,4,26,0.298
Jew-Iberian,Latvia-AJ,6.303,3,7,1.129
Afar,Libyan,1.54,5,5,0.458
Eritrean,English-Southwest,0.461,3,5,0.314
Austria-AJ,Lebanese-Christian,0.792,3,9,0.259
English-Southeast,Russian-Central,5.026,5,58,0.214
French-Southeast,Tajik,1.749,5,32,0.197
French-Southwest,Pole,3.393,6,19,0.261
Kyrgyz-South,Russian-Central,2.089,6,58,0.131
Scot,Tabasaran,2.629,4,12,0.375
Sicilian-East,Estonian,2.696,6,16,0.259
Kryashen,Tabasaran,2.089,3,12,0.364
Basque-Spain,Belarus-AJ,3.082,6,14,0.322
French-Southwest,general-AJ,2.635,6,7,0.389
Jew-Iraqi,Lebanese-Muslim,1.314,6,11,0.244
Kyrgyz-South,Turk-Central,1.136,6,10,0.291
Cossack,Jew-Kurdish,1.479,4,8,0.416
Austria-AJ,Yemenite-Desert,0.768,3,27,0.172
Algerian,Jew-Yemenite,0.86,4,7,0.297
English-Southwest,Croat,4.695,5,14,0.442
Spanish-Northwest,Ukraine-AJ,1.74,5,38,0.183
Algerian,Sardinian,1.44,4,20,0.247
Afar,Russian-Arctic,0.312,5,17,0.109
Brahmin,mixed-AJ,1.407,3,204,0.079
Mansi,Sindhi,1.336,5,14,0.234
Eritrean,Slovenian,0.782,3,15,0.208
Spanish-Northwest,Chechen,2.309,5,9,0.359
Netherlands-AJ,Hazara,1.136,4,11,0.248
Jew-Iberian,Egyptian,1.206,3,18,0.272
Jew-Cochin,Croat,1.33,5,14,0.246
Shaigi,Kabardian,0.886,3,13,0.251
French-Southeast,French-North,3.419,5,9,0.454
Libyan,Ukraine-AJ,1.985,5,38,0.17
English-Southeast,Moroccan,2.267,5,10,0.373
Cossack,Hungary-AJ,3.714,4,26,0.347
Libyan,Chechen,0.878,5,9,0.305
Brahmin,Moroccan,1.005,3,10,0.362
Eritrean,French-Southeast,0.532,3,5,0.289
Jew-Iberian,Jew-Georgian,1.075,3,7,0.399
Afar,Basque-Spain,0.38,5,6,0.182
Austria-AJ,Bulgarian,1.58,3,9,0.377
French-Southeast,Palestinian,1.379,5,33,0.152
French-Southwest,Sardinian,3.081,6,20,0.254
English-Southeast,mixed-AJ,3.383,5,204,0.096
Sicilian-East,Russian-Arctic,2.557,6,17,0.28
